b'pomiarI_1: -40.10 [A], pomiarV_2: 0.54 [V], pomiarI_2: -28.76 [A], \r\n'
b'czas: 12006 [s], pomiarVT_0: 5.37 [V], pomiarVT_1: 5.43 [V], pomiarI_0: -38.72 [A], pomiarI_1: -41.78 [A], pomiarV_2: 0.57 [V], pomiarI_2: -35.84 [A], \r\n'
b'czas: 12144 [s], pomiarVT_0: 5.25 [V], pomiarVT_1: 5.46 [V], pomiarI_0: -38.66 [A], pomiarI_1: -41.90 [A], pomiarV_2: 0.57 [V], pomiarI_2: -31.10 [A], \r\n'
b'czas: 12283 [s], pomiarVT_0: 5.25 [V], pomiarVT_1: 5.46 [V], pomiarI_0: -38.66 [A], pomiarI_1: -41.78 [A], pomiarV_2: 0.58 [V], pomiarI_2: -29.24 [A], \r\n'
b'czas: 12421 [s], pomiarVT_0: 4.98 [V], pomiarVT_1: 5.37 [V], pomiarI_0: -38.72 [A], pomiarI_1: -41.24 [A], pomiarV_2: 0.55 [V], pomiarI_2: -26.66 [A], \r\n'
b'czas: 12559 [s], pomiarVT_0: 5.01 [V], pomiarVT_1: 5.19 [V], pomiarI_0: -38.78 [A], pomiarI_1: -40.58 [A], pomiarV_2: 0.55 [V], pomiarI_2: -26.78 [A], \r\n'
b'czas: 12697 [s], pomiarVT_0: 5.10 [V], pomiarVT_1: 5.16 [V], pomiarI_0: -38.84 [A], pomiarI_1: -40.04 [A], pomiarV_2: 0.54 [V], pomiarI_2: -30.08 [A], \r\n'
b'czas: 12835 [s], pomiarVT_0: 5.25 [V], pomiarVT_1: 5.01 [V], pomiarI_0: -38.84 [A], pomiarI_1: -39.98 [A], pomiarV_2: 0.55 [V], pomiarI_2: -33.56 [A], \r\n'
b'czas: 12973 [s], pomiarVT_0: 5.13 [V], pomiarVT_1: 5.13 [V], pomiarI_0: -39.26 [A], pomiarI_1: -40.40 [A], pomiarV_2: 0.55 [V], pomiarI_2: -37.70 [A], \r\n'
b'czas: 13111 [s], pomiarVT_0: 5.31 [V], pomiarVT_1: 5.22 [V], pomiarI_0: -39.14 [A], pomiarI_1: -41.06 [A], pomiarV_2: 0.55 [V], pomiarI_2: -39.92 [A], \r\n'
b'czas: 13249 [s], pomiarVT_0: 5.46 [V], pomiarVT_1: 5.61 [V], pomiarI_0: -39.08 [A], pomiarI_1: -41.36 [A], pomiarV_2: 0.56 [V], pomiarI_2: -40.70 [A], \r\n'
b'czas: 13387 [s], pomiarVT_0: 5.49 [V], pomiarVT_1: 5.58 [V], pomiarI_0: -38.96 [A], pomiarI_1: -41.72 [A], pomiarV_2: 0.57 [V], pomiarI_2: -37.94 [A], \r\n'
b'czas: 13525 [s], pomiarVT_0: 5.37 [V], pomiarVT_1: 5.52 [V], pomiarI_0: -38.78 [A], pomiarI_1: -41.72 [A], pomiarV_2: 0.57 [V], pomiarI_2: -33.38 [A], \r\n'
b'czas: 13663 [s], pomiarVT_0: 5.19 [V], pomiarVT_1: 5.49 [V], pomiarI_0: -38.66 [A], pomiarI_1: -41.78 [A], pomiarV_2: 0.57 [V], pomiarI_2: -28.94 [A], \r\n'
